Scenario,Pattern,Strength_pct,Algorithm,TrialIndex,R_task,R_time,CRI,throughputRecovery,feasibilityRate,completionRate,failedRate,meanCompletionTime
small,random,30,Hungarian (Ours),9,0.662538699690402,1,0.831269349845201,1,0.6,0.6,0.4,168.5625
small,random,30,Hungarian (Ours),10,0.752321981424149,0.49171270718232,0.622017344303235,1,0.675,0.675,0.325,180.425925925926
small,random,40,RRAM,1,0.460606060606061,0,0.23030303030303,0,0.475,0.475,0.525,188.394736842105
small,random,40,RRAM,2,0.463126843657817,0.539156626506024,0.501141735081921,0.294117647058824,0.4625,0.4625,0.5375,176.351351351351
small,random,40,RRAM,3,0.415094339622642,0,0.207547169811321,0.408163265306122,0.4875,0.4875,0.5125,185.769230769231
small,random,40,RRAM,4,0.355300859598854,0,0.177650429799427,0,0.4,0.4,0.6,179.75
small,random,40,RRAM,5,0.414201183431953,0,0.207100591715976,0,0.45,0.45,0.55,190.361111111111
small,random,40,RRAM,6,0.433628318584071,0.719135802469136,0.576382060526603,0.176470588235294,0.4375,0.4375,0.5625,173.228571428571
small,random,40,RRAM,7,0.482035928143713,0.00350877192982457,0.242772350036769,0.25,0.4875,0.4875,0.5125,195.564102564103
small,random,40,RRAM,8,0.340909090909091,0.6,0.470454545454545,0.0666666666666667,0.3625,0.3625,0.6375,146.965517241379
small,random,40,RRAM,9,0.45045045045045,0,0.225225225225225,0,0.475,0.475,0.525,189.421052631579
small,random,40,RRAM,10,0.380403458213256,0.444043321299639,0.412223389756448,0.16,0.425,0.425,0.575,174.588235294118
small,random,40,BDTR,1,0.730769230769231,0,0.365384615384615,0.4375,0.6375,0.6375,0.3625,185.333333333333
small,random,40,BDTR,2,0.732732732732733,0,0.366366366366366,0.363636363636364,0.6625,0.6625,0.3375,184.698113207547
small,random,40,BDTR,3,0.68695652173913,0,0.343478260869565,0.391304347826087,0.625,0.625,0.375,187.58
small,random,40,BDTR,4,0.765060240963855,0.0368852459016393,0.400972743432747,0.2,0.6625,0.6625,0.3375,176.811320754717
small,random,40,BDTR,5,0.768072289156627,0,0.384036144578313,0.5,0.675,0.675,0.325,183.888888888889
small,random,40,BDTR,6,0.71044776119403,0,0.355223880597015,0.307692307692308,0.625,0.625,0.375,179
small,random,40,BDTR,7,0.75975975975976,0,0.37987987987988,0.454545454545455,0.6625,0.6625,0.3375,184.698113207547
small,random,40,BDTR,8,0.722388059701493,0,0.361194029850746,0.307692307692308,0.6375,0.6375,0.3625,174.921568627451
small,random,40,BDTR,9,0.706744868035191,0,0.353372434017595,0.368421052631579,0.6375,0.6375,0.3625,193.372549019608
small,random,40,BDTR,10,0.718934911242604,0,0.359467455621302,0.3125,0.6375,0.6375,0.3625,183.960784313725
small,random,40,SROM,1,0.727810650887574,0,0.363905325443787,0.375,0.6375,0.6375,0.3625,184.352941176471
small,random,40,SROM,2,0.748520710059172,0,0.374260355029586,0.4375,0.675,0.675,0.325,188.222222222222
small,random,40,SROM,3,0.658959537572254,0,0.329479768786127,0.25,0.6,0.6,0.4,180.104166666667
small,random,40,SROM,4,0.725903614457831,0,0.362951807228916,0.1,0.625,0.625,0.375,173.78
small,random,40,SROM,5,0.753799392097264,0,0.376899696048632,0.285714285714286,0.6625,0.6625,0.3375,182.037735849057
small,random,40,SROM,6,0.707462686567164,0,0.353731343283582,0.230769230769231,0.625,0.625,0.375,180.36
small,random,40,SROM,7,0.743975903614458,0,0.371987951807229,0.3,0.65,0.65,0.35,180.730769230769
small,random,40,SROM,8,0.695522388059701,0,0.347761194029851,0.0769230769230769,0.6,0.6,0.4,167.291666666667
small,random,40,SROM,9,0.697947214076246,0,0.348973607038123,0.315789473684211,0.625,0.625,0.375,188.94
small,random,40,SROM,10,0.718562874251497,0,0.359281437125749,0.166666666666667,0.625,0.625,0.375,180.2
small,random,40,Hungarian (Ours),1,0.662538699690402,1,0.831269349845201,1,0.5875,0.5875,0.4125,157.36170212766
small,random,40,Hungarian (Ours),2,0.708978328173375,0.890070921985816,0.799524625079595,1,0.65,0.65,0.35,172.519230769231
small,random,40,Hungarian (Ours),3,0.591331269349845,0.919028340080972,0.755179804715408,1,0.5625,0.5625,0.4375,154.088888888889
small,random,40,Hungarian (Ours),4,0.662538699690402,1,0.831269349845201,1,0.6,0.6,0.4,156.625
small,random,40,Hungarian (Ours),5,0.718266253869969,1,0.859133126934984,1,0.65,0.65,0.35,175.884615384615
small,random,40,Hungarian (Ours),6,0.684210526315789,0.925324675324675,0.804767600820232,1,0.6125,0.6125,0.3875,170.571428571429
small,random,40,Hungarian (Ours),7,0.702786377708978,0.454545454545455,0.578665916127217,1,0.625,0.625,0.375,169.22
small,random,40,Hungarian (Ours),8,0.643962848297214,1,0.821981424148607,1,0.6125,0.6125,0.3875,163.367346938776
small,random,40,Hungarian (Ours),9,0.696594427244582,0.605263157894737,0.650928792569659,1,0.6,0.6,0.4,178.333333333333
small,random,40,Hungarian (Ours),10,0.606811145510836,1,0.803405572755418,1,0.5625,0.5625,0.4375,151.888888888889
small,balanced,20,RRAM,1,0.43452380952381,0,0.217261904761905,0,0.4625,0.4625,0.5375,186.324324324324
small,balanced,20,RRAM,2,0.43452380952381,0,0.217261904761905,0,0.4625,0.4625,0.5375,186.324324324324
small,balanced,20,RRAM,3,0.495356037151703,1,0.747678018575851,1,0.5,0.5,0.5,196.85
small,balanced,20,RRAM,4,0.495356037151703,1,0.747678018575851,1,0.5,0.5,0.5,196.85
small,balanced,20,RRAM,5,0.397183098591549,0,0.198591549295775,0.333333333333333,0.4375,0.4375,0.5625,185.057142857143
small,balanced,20,RRAM,6,0.482248520710059,0.491694352159468,0.486971436434764,0.3125,0.475,0.475,0.525,178.815789473684
small,balanced,20,RRAM,7,0.408284023668639,0,0.20414201183432,0,0.4375,0.4375,0.5625,187.828571428571
small,balanced,20,RRAM,8,0.44047619047619,0.484,0.462238095238095,0.285714285714286,0.475,0.475,0.525,186.605263157895
small,balanced,20,RRAM,9,0.427299703264095,0,0.213649851632047,0,0.45,0.45,0.55,186.611111111111
small,balanced,20,RRAM,10,0.495356037151703,1,0.747678018575851,1,0.5,0.5,0.5,196.85
small,balanced,20,BDTR,1,0.717261904761905,0,0.358630952380952,0.357142857142857,0.6375,0.6375,0.3625,185
small,balanced,20,BDTR,2,0.716417910447761,0,0.358208955223881,0.307692307692308,0.6375,0.6375,0.3625,182.686274509804
small,balanced,20,BDTR,3,0.776119402985075,0,0.388059701492537,0.461538461538462,0.7125,0.7125,0.2875,190.80701754386
small,balanced,20,BDTR,4,0.793939393939394,0,0.396969696969697,0.5,0.7,0.7,0.3,187.285714285714
small,balanced,20,BDTR,5,0.753012048192771,0,0.376506024096386,0.4,0.675,0.675,0.325,184.259259259259
small,balanced,20,BDTR,6,0.750759878419453,0.0681818181818182,0.409470848300636,0.142857142857143,0.6625,0.6625,0.3375,183.207547169811
small,balanced,20,BDTR,7,0.70414201183432,0,0.35207100591716,0.375,0.625,0.625,0.375,191.36
small,balanced,20,BDTR,8,0.777439024390244,0,0.388719512195122,0.5,0.6875,0.6875,0.3125,184.145454545455
