Scenario,Algorithm,RunIndex,R_task,R_time,CRI,throughputRecovery,feasibilityRate,completionRate,failedRate,meanCompletionTime
small,RRAM,102,0.474777448071217,0.740740740740741,0.607759094405979,0.266666666666667,0.4875,0.4875,0.5125,181.615384615385
small,RRAM,103,0.378698224852071,0.652567975830816,0.515633100341443,0,0.4,0.4,0.6,176.09375
small,RRAM,104,0.397626112759644,0.433234421364985,0.415430267062315,0,0.4,0.4,0.6,170.40625
small,RRAM,105,0.399408284023669,0.614147909967846,0.506778096995757,0.1875,0.425,0.425,0.575,162.323529411765
small,RRAM,106,0.538699690402477,0.876712328767123,0.7077060095848,1,0.5375,0.5375,0.4625,190
small,RRAM,107,0.43491124260355,0.697452229299363,0.566181735951457,0.3125,0.425,0.425,0.575,163.323529411765
small,RRAM,108,0.415430267062315,0.737931034482759,0.576680650772537,0,0.425,0.425,0.575,181.352941176471
small,RRAM,109,0.435820895522388,0.440922190201729,0.438371542862059,0,0.4625,0.4625,0.5375,170.72972972973
small,RRAM,110,0.528023598820059,0.589235127478754,0.558629363149406,0.529411764705882,0.55,0.55,0.45,195.727272727273
small,RRAM,111,0.501547987616099,0.851063829787234,0.676305908701667,1,0.5125,0.5125,0.4875,189.731707317073
small,RRAM,112,0.405970149253731,0.739299610894942,0.572634880074336,0,0.4125,0.4125,0.5875,174.393939393939
small,RRAM,113,0.428571428571429,0.805194805194805,0.616883116883117,0.285714285714286,0.4375,0.4375,0.5625,180.2
small,RRAM,114,0.36094674556213,0.433048433048433,0.396997589305282,0,0.375,0.375,0.625,172.833333333333
small,RRAM,115,0.389830508474576,0.530487804878049,0.460159156676313,0.3125,0.475,0.475,0.525,178.394736842105
small,RRAM,116,0.526315789473684,0.627777777777778,0.577046783625731,1,0.5,0.5,0.5,195.325
small,RRAM,117,0.421052631578947,0.821522309711286,0.621287470645117,1,0.425,0.425,0.575,167.294117647059
small,RRAM,118,0.442477876106195,0.634146341463415,0.538312108784805,0.235294117647059,0.45,0.45,0.55,175.027777777778
small,RRAM,119,0.414201183431953,0.603399433427762,0.508800308429857,0.25,0.475,0.475,0.525,194.105263157895
small,RRAM,120,0.41025641025641,0.540453074433657,0.475354742345034,0.275862068965517,0.4625,0.4625,0.5375,163.864864864865
small,RRAM,121,0.446428571428571,0.97787610619469,0.712152338811631,0.285714285714286,0.475,0.475,0.525,191.657894736842
small,RRAM,122,0.407932011331445,0.582633053221288,0.495282532276367,0.258064516129032,0.45,0.45,0.55,181.638888888889
small,RRAM,123,0.48048048048048,0.773662551440329,0.627071515960405,0,0.4875,0.4875,0.5125,172.538461538462
small,RRAM,124,0.380530973451327,0.557522123893805,0.469026548672566,0.294117647058824,0.4,0.4,0.6,170.65625
small,RRAM,125,0.52112676056338,0.544159544159544,0.532643152361462,0.454545454545455,0.5625,0.5625,0.4375,192.244444444444
small,RRAM,126,0.476331360946746,0.676190476190476,0.576260918568611,0.3125,0.4375,0.4375,0.5625,184.457142857143
small,RRAM,127,0.371681415929204,0.510869565217391,0.441275490573297,0,0.4,0.4,0.6,177.6875
small,RRAM,128,0.416666666666667,0.882352941176471,0.649509803921569,0.285714285714286,0.45,0.45,0.55,181.361111111111
small,RRAM,129,0.507739938080495,0.736413043478261,0.622076490779378,1,0.5125,0.5125,0.4875,172.390243902439
small,RRAM,130,0.409604519774011,0.604105571847507,0.506855045810759,0.21875,0.45,0.45,0.55,179.805555555556
small,RRAM,131,0.495356037151703,0.825214899713467,0.660285468432585,1,0.475,0.475,0.525,190.026315789474
small,RRAM,132,0.408955223880597,0.943231441048035,0.676093332464316,0.230769230769231,0.425,0.425,0.575,176.941176470588
small,RRAM,133,0.389221556886228,0.580769230769231,0.484995393827729,0,0.4125,0.4125,0.5875,169.090909090909
small,RRAM,134,0.338028169014085,0.472934472934473,0.405481320974279,0.303030303030303,0.425,0.425,0.575,161.617647058824
small,RRAM,135,0.447293447293447,0.580536912751678,0.513915180022563,0.241379310344828,0.5125,0.5125,0.4875,181.024390243902
small,RRAM,136,0.421965317919075,0.564814814814815,0.493390066366945,0,0.4625,0.4625,0.5375,169.891891891892
small,RRAM,137,0.400576368876081,0.773148148148148,0.586862258512114,0.2,0.45,0.45,0.55,168.722222222222
small,RRAM,138,0.383098591549296,0.545961002785515,0.464529797167406,0.242424242424242,0.4,0.4,0.6,157.15625
small,RRAM,139,0.444759206798867,0.60126582278481,0.523012514791839,0.225806451612903,0.4625,0.4625,0.5375,176.783783783784
small,RRAM,140,0.457627118644068,0.453083109919571,0.455355114281819,0.25,0.5,0.5,0.5,196.9
small,RRAM,141,0.410029498525074,0.626470588235294,0.518250043380184,0.294117647058824,0.4,0.4,0.6,158.4375
small,RRAM,142,0.431137724550898,0.535433070866142,0.48328539770852,0,0.4375,0.4375,0.5625,147.114285714286
small,RRAM,143,0.392857142857143,0.853281853281853,0.623069498069498,0,0.4125,0.4125,0.5875,161.69696969697
small,RRAM,144,0.330383480825959,0.534534534534534,0.432459007680247,0,0.3375,0.3375,0.6625,157.62962962963
small,RRAM,145,0.371681415929204,0.609418282548476,0.49054984923884,0,0.4125,0.4125,0.5875,183.242424242424
small,RRAM,146,0.480113636363636,0.495652173913044,0.48788290513834,0.233333333333333,0.4875,0.4875,0.5125,182.179487179487
small,RRAM,147,0.422619047619048,0.431635388739946,0.427127218179497,0,0.4375,0.4375,0.5625,169.114285714286
small,RRAM,148,0.446745562130178,0.683229813664596,0.564987687897387,0.3125,0.4625,0.4625,0.5375,185.297297297297
small,RRAM,149,0.320474777448071,0.636887608069164,0.478681192758618,0,0.3375,0.3375,0.6625,135.259259259259
small,RRAM,150,0.456973293768546,0.812056737588652,0.634515015678599,0.4,0.4875,0.4875,0.5125,181.717948717949
small,RRAM,151,0.341176470588235,0.544502617801047,0.442839544194641,0,0.35,0.35,0.65,172.857142857143
small,RRAM,152,0.495356037151703,0.918181818181818,0.70676892766676,1,0.4875,0.4875,0.5125,181.948717948718
small,RRAM,153,0.433628318584071,0.576923076923077,0.505275697753574,0.294117647058824,0.475,0.475,0.525,168.131578947368
small,RRAM,154,0.575851393188854,0.591623036649215,0.583737214919035,1,0.55,0.55,0.45,177.727272727273
small,RRAM,155,0.43343653250774,0.784552845528455,0.608994689018098,1,0.4375,0.4375,0.5625,180.114285714286
small,RRAM,156,0.476331360946746,0.634502923976608,0.555417142461677,0.3125,0.475,0.475,0.525,171.210526315789
small,RRAM,157,0.432835820895522,0.72992700729927,0.581381414097396,0.230769230769231,0.475,0.475,0.525,186.394736842105
small,RRAM,158,0.513513513513513,0.633333333333333,0.573423423423423,0.0909090909090909,0.525,0.525,0.475,194.380952380952
small,RRAM,159,0.370588235294118,0.480769230769231,0.425678733031674,0,0.3875,0.3875,0.6125,180.451612903226
small,RRAM,160,0.443786982248521,0.397849462365591,0.420818222307056,0,0.45,0.45,0.55,170.444444444444
small,RRAM,161,0.423076923076923,0.620060790273556,0.52156885667524,0.3125,0.425,0.425,0.575,164.852941176471
small,RRAM,162,0.433234421364985,0.770547945205479,0.601891183285232,0,0.45,0.45,0.55,170.805555555556
small,RRAM,163,0.438805970149254,0.795302013422819,0.617053991786036,0.384615384615385,0.4625,0.4625,0.5375,173.621621621622
small,RRAM,164,0.476190476190476,0.389502762430939,0.432846619310708,0,0.5,0.5,0.5,186.975
small,RRAM,165,0.414860681114551,0.89622641509434,0.655543548104445,1,0.4125,0.4125,0.5875,163.181818181818
small,RRAM,166,0.408668730650155,0.682492581602374,0.545580656126264,1,0.4125,0.4125,0.5875,169.939393939394
small,RRAM,167,0.455089820359281,1,0.727544910179641,0.166666666666667,0.45,0.45,0.55,173.638888888889
small,RRAM,168,0.358208955223881,0.963133640552995,0.660671297888438,0,0.4,0.4,0.6,154.1875
small,RRAM,169,0.513931888544892,0.853383458646617,0.683657673595754,1,0.5,0.5,0.5,178.95
small,RRAM,170,0.48048048048048,0.569230769230769,0.524855624855625,0,0.475,0.475,0.525,168.947368421053
small,RRAM,171,0.391691394658754,0.684782608695652,0.538237001677203,0.133333333333333,0.4375,0.4375,0.5625,169.4
small,RRAM,172,0.364705882352941,0.505681818181818,0.43519385026738,0,0.375,0.375,0.625,173.7
small,RRAM,173,0.501492537313433,0.473846153846154,0.487669345579793,0,0.5,0.5,0.5,170.7
small,RRAM,174,0.375,0.773381294964029,0.574190647482014,0,0.3875,0.3875,0.6125,148.225806451613
small,RRAM,175,0.368271954674221,0.537459283387622,0.452865619030922,0.258064516129032,0.4,0.4,0.6,180
small,RRAM,176,0.443786982248521,0.546268656716418,0.495027819482469,0,0.4625,0.4625,0.5375,170.027027027027
small,RRAM,177,0.520123839009288,0.86031746031746,0.690220649663374,1,0.5375,0.5375,0.4625,199.255813953488
small,RRAM,178,0.537142857142857,0.73728813559322,0.637215496368039,0.357142857142857,0.5125,0.5125,0.4875,197.121951219512
small,RRAM,179,0.364705882352941,0.481578947368421,0.423142414860681,0,0.3625,0.3625,0.6375,173.724137931034
small,RRAM,180,0.507739938080495,0.715953307392996,0.611846622736746,1,0.525,0.525,0.475,200.333333333333
small,RRAM,181,0.470588235294118,0.560830860534125,0.515709547914121,1,0.4875,0.4875,0.5125,175.435897435897
small,RRAM,182,0.532934131736527,0.606060606060606,0.569497368898567,0.166666666666667,0.5375,0.5375,0.4625,191.976744186047
small,RRAM,183,0.495798319327731,0.506738544474393,0.501268431901062,0.485714285714286,0.5375,0.5375,0.4625,186.790697674419
small,RRAM,184,0.48297213622291,0.968503937007874,0.725738036615392,1,0.5,0.5,0.5,201.55
